file	totalBp	nSeqs	mean	50%	min	max	N50	auN
./PS00718_DddA_A2_m84046_241004_204600_s1.hifi_reads.bc2068.bam	17495394154	5058887	3458.348477441777	3020	114	37185	4130	4561.262089033698
./PS00718_DddA_A2_m84055_240822_201326_s2.hifi_reads.bc2068.bam	5325652896	1489235	3576.099739799293	2966	116	30219	4296	4954.797856391879
./PS00756_DddA_C2_m84046_241004_224513_s2.hifi_reads.bc2001.bam	29137666533	6028101	4833.639405345067	4408	78	50943	5453	6014.481993298437
./PS00756_m84055_250124_184331_s2.hifi_reads.bc2001.no-kinetics.bam	30324407231	7927746	3825.098234857676	3408	59	41778	4385	4927.852437043108
./PS00756_m84055_250124_204253_s3.hifi_reads.bc2001.no-kinetics.bam	31207322199	8179277	3815.413293742222	3406	61	36134	4394	4928.095607527809
./PS00757_DddA_E2_m84046_241005_004435_s3.hifi_reads.bc2002.bam	22096376656	5732285	3854.724015990133	3334	83	49201	4663	5179.60459548658
./PS00758_DddA_F2_Seq2_m84046_241104_232153_s1.hifi_reads.bc2003_no_kinetics.bam	22938518498	7005740	3274.2463320077536	2848	89	27885	3830	4280.642016896657
./PS00758_DddA_F2_m84046_241005_024355_s4.hifi_reads.bc2003.bam	25719673247	6784775	3790.7923618690374	3283	70	39877	4593	5109.799331486468
./PS00758_DddA_F2_m84046_241014_163432_s2.hifi_reads.bc2003.bam	30400003589	8298680	3663.2336213711096	3071	86	38508	4386	4996.381807593049
./PS00758_DddA_F2_m84046_241021_233822_s1.hifi_reads.bc2003.bam	22217877534	5645855	3935.254719435763	3392	74	47908	4806	5319.934690544415
./PS00758_F2_m84046_241123_040703_s2.hifi_reads.bc2003.no-kinetics.bam	15656946470	7733523	2024.555493013986	1709	88	21772	2287	2708.2002952187395
./PS00758_F2_m84046_241123_060813_s3.hifi_reads.bc2003.no-kinetics.bam	16510535260	7722759	2137.9063181953497	1834	60	23407	2391	2803.8672774900697
./PS00851_m84055_250124_224319_s4.hifi_reads.bc2040.no-kinetics.bam	39496295458	8415585	4693.232313380472	4118	72	49721	5404	6148.190635231398
./PS00851_m84055_250125_004230_s1.hifi_reads.bc2040.no-kinetics.bam	40551525417	9009050	4501.198840832274	3909	118	44375	5145	5938.830326520612
./PS00859_m84055_250126_043526_s2.hifi_reads.bc2048.no-kinetics.bam	42424677769	8260187	5136.043260158638	4554	88	54891	5853	6623.768694898982
./PS00859_m84055_250126_063457_s3.hifi_reads.bc2048.no-kinetics.bam	42892847504	8892234	4823.630091605776	4248	94	50919	5468	6256.08519579316
./PS00867_m84055_250121_212944_s1.hifi_reads.bc2057.no-kinetics.bam	13805189635	5007719	2756.7820069376894	2167	90	34685	3474	3991.88503476106
./PS00868_m84055_250121_212944_s1.hifi_reads.bc2058.no-kinetics.bam	12673985346	4289196	2954.862716928767	2320	58	36041	3794	4358.86521902611
./PS00869_m84055_250122_002539_s2.hifi_reads.bc2059.no-kinetics.bam	12056968341	4096833	2942.997271550976	2172	70	31646	4072	4542.38656093084
./PS00870_m84055_250122_002539_s2.hifi_reads.bc2060.no-kinetics.bam	11872318744	3983206	2980.593708685918	2208	73	35253	4141	4616.908890459789
./PS00871_m84055_250122_032122_s3.hifi_reads.bc2061.no-kinetics.bam	12445801771	4330854	2873.7523294481875	2112	85	41142	3916	4453.726128238122
./PS00872_m84055_250122_032122_s3.hifi_reads.bc2062.no-kinetics.bam	10481825089	3678101	2849.792620974791	2099	87	29935	3870	4397.8245845215515
./PS00873_m84055_250122_061713_s4.hifi_reads.bc2063.no-kinetics.bam	8112793444	3057183	2653.682636597155	1816	82	28868	3748	4270.693546909932
./PS00874_m84055_250122_061713_s4.hifi_reads.bc2064.no-kinetics.bam	9895552718	3470699	2851.169956830022	1991	77	36297	4057	4564.6571234775165
