,1,2,3,4,5,6,7,8,9,10
"(1, 2)",,,195.0,114.0,98.0,24.0,198.0,147.0,183.0,90.0
"(1, 3)",,,,52.0,24.0,1.0,31.0,25.0,47.0,25.0
"(1, 4)",,,,,33.0,7.0,37.0,49.0,82.0,58.0
"(1, 5)",,,,,,3.0,38.0,38.0,23.0,19.0
"(1, 6)",,,,,,,26.0,11.0,17.0,8.0
"(1, 7)",,,,,,,,42.0,62.0,33.0
"(1, 8)",,,,,,,,,78.0,37.0
"(1, 9)",,,,,,,,,,79.0
"(1, 10)",,,,,,,,,,
"(2, 3)",,,,5.0,0.0,0.0,8.0,4.0,2.0,0.0
"(2, 4)",,,,,0.0,2.0,4.0,0.0,3.0,4.0
"(2, 5)",,,,,,0.0,8.0,0.0,1.0,0.0
"(2, 6)",,,,,,,0.0,0.0,0.0,0.0
"(2, 7)",,,,,,,,3.0,7.0,3.0
"(2, 8)",,,,,,,,,1.0,0.0
"(2, 9)",,,,,,,,,,1.0
"(2, 10)",,,,,,,,,,
"(3, 4)",,,,,35.0,5.0,44.0,49.0,83.0,76.0
"(3, 5)",,,,,,3.0,1.0,7.0,10.0,11.0
"(3, 6)",,,,,,,23.0,3.0,2.0,15.0
"(3, 7)",,,,,,,,18.0,31.0,24.0
"(3, 8)",,,,,,,,,29.0,43.0
"(3, 9)",,,,,,,,,,33.0
"(3, 10)",,,,,,,,,,
"(4, 5)",,,,,,14.0,56.0,22.0,108.0,26.0
"(4, 6)",,,,,,,38.0,22.0,47.0,20.0
"(4, 7)",,,,,,,,52.0,121.0,71.0
"(4, 8)",,,,,,,,,129.0,73.0
"(4, 9)",,,,,,,,,,190.0
"(4, 10)",,,,,,,,,,
"(5, 6)",,,,,,,6.0,9.0,13.0,13.0
"(5, 7)",,,,,,,,27.0,56.0,34.0
"(5, 8)",,,,,,,,,37.0,15.0
"(5, 9)",,,,,,,,,,96.0
"(5, 10)",,,,,,,,,,
"(6, 7)",,,,,,,,30.0,61.0,63.0
"(6, 8)",,,,,,,,,2.0,15.0
"(6, 9)",,,,,,,,,,31.0
"(6, 10)",,,,,,,,,,
"(7, 8)",,,,,,,,,96.0,26.0
"(7, 9)",,,,,,,,,,151.0
"(7, 10)",,,,,,,,,,
"(8, 9)",,,,,,,,,,94.0
"(8, 10)",,,,,,,,,,
"(9, 10)",,,,,,,,,,
