zmw,1,2,3,4,5,6,7,8,9,10,11
m84046_240619_124816_s1/200086108/ccs,0,0,1,0,0,0,0,0,0,1,1
m84046_240619_124816_s1/162402293/ccs,1,0,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/184290934/ccs,1,0,1,0,0,0,0,1,1,0,1
m84046_240619_124816_s1/50858033/ccs,1,1,0,0,0,0,0,0,1,0,1
m84046_240619_124816_s1/173016106/ccs,1,1,1,1,0,0,0,0,1,1,1
m84046_240619_124816_s1/221907518/ccs,0,0,0,0,1,1,0,0,1,0,1
m84046_240619_124816_s1/109645577/ccs,0,0,0,0,0,0,0,1,1,0,1
m84046_240619_124816_s1/150344023/ccs,1,1,0,0,0,0,0,0,0,1,1
m84046_240619_124816_s1/70715199/ccs,0,0,0,0,1,0,1,0,0,0,1
m84046_240619_124816_s1/182456778/ccs,-1,-1,-1,-1,-1,0,1,1,1,1,1
m84046_240619_124816_s1/136123473/ccs,0,0,0,0,0,1,1,0,1,0,1
m84046_240619_124816_s1/146409846/ccs,0,0,0,1,0,0,0,0,0,0,1
m84046_240619_124816_s1/215091330/ccs,1,1,1,1,1,1,1,0,1,1,1
m84046_240619_124816_s1/120520892/ccs,0,0,0,0,0,0,0,0,1,0,1
m84046_240619_124816_s1/209650311/ccs,1,1,1,0,1,0,0,0,1,0,1
m84046_240619_124816_s1/148766820/ccs,0,0,0,1,1,0,0,1,1,0,1
m84046_240619_124816_s1/102172427/ccs,0,0,0,1,0,0,0,0,0,1,1
m84046_240619_124816_s1/206836536/ccs,1,0,0,0,1,1,0,0,0,0,1
m84046_240619_124816_s1/209130542/ccs,0,0,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/34018229/ccs,0,0,1,1,0,0,0,1,0,0,1
m84046_240619_124816_s1/23921852/ccs,1,1,1,1,0,0,0,0,0,0,1
m84046_240619_124816_s1/166008735/ccs,0,0,0,0,0,0,1,0,0,0,1
m84046_240619_124816_s1/64095995/ccs,0,0,0,0,1,0,1,0,0,0,1
m84046_240619_124816_s1/93328785/ccs,0,0,0,0,0,0,0,0,1,0,1
m84046_240619_124816_s1/148902520/ccs,0,0,0,0,0,0,0,1,0,0,1
m84046_240619_124816_s1/27134754/ccs,0,0,0,1,0,0,0,0,0,0,1
m84046_240619_124816_s1/217055918/ccs,0,0,0,0,0,0,0,0,1,0,-1
m84046_240619_124816_s1/136251889/ccs,0,0,0,1,1,0,0,0,1,0,1
m84046_240619_124816_s1/87426455/ccs,1,1,0,0,0,0,1,1,0,0,-1
m84046_240619_124816_s1/230100881/ccs,0,0,0,1,0,0,0,0,1,0,1
m84046_240619_124816_s1/217650420/ccs,0,0,0,1,0,0,1,0,1,0,1
m84046_240619_124816_s1/23795335/ccs,0,0,0,0,1,0,0,0,1,0,-1
m84046_240619_124816_s1/145820651/ccs,0,0,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/183241667/ccs,1,1,1,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/257758213/ccs,0,0,0,1,0,0,0,0,1,1,1
m84046_240619_124816_s1/55907160/ccs,0,0,0,0,0,0,1,0,0,0,1
m84046_240619_124816_s1/53480211/ccs,1,1,1,0,0,0,0,1,0,0,1
m84046_240619_124816_s1/142807843/ccs,1,0,0,0,0,0,0,1,0,0,1
m84046_240619_124816_s1/137364926/ccs,1,1,0,0,0,0,0,1,0,0,1
m84046_240619_124816_s1/88605356/ccs,1,1,0,1,1,0,0,0,1,0,1
m84046_240619_124816_s1/22285540/ccs,1,0,0,0,1,0,1,0,0,0,1
m84046_240619_124816_s1/36766304/ccs,0,0,0,1,0,1,1,0,1,0,1
m84046_240619_124816_s1/60231505/ccs,1,1,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/246419500/ccs,0,0,0,0,0,0,0,1,1,0,0
m84046_240619_124816_s1/126616435/ccs,0,0,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/207620572/ccs,1,0,1,1,0,1,0,0,1,1,1
m84046_240619_124816_s1/86053554/ccs,0,0,0,1,0,0,1,0,0,0,1
m84046_240619_124816_s1/142084772/ccs,1,1,0,1,0,0,0,0,1,0,1
m84046_240619_124816_s1/59315954/ccs,1,1,1,1,0,0,1,0,1,1,1
m84046_240619_124816_s1/131076037/ccs,1,0,0,1,0,0,0,0,0,1,1
m84046_240619_124816_s1/74712650/ccs,1,1,0,0,0,0,1,0,0,1,1
m84046_240619_124816_s1/21698145/ccs,1,0,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/19338449/ccs,1,0,0,0,1,0,-1,-1,-1,0,1
m84046_240619_124816_s1/142936964/ccs,1,0,0,1,0,0,0,0,1,0,1
m84046_240619_124816_s1/5506565/ccs,0,0,0,0,0,0,0,0,0,0,-1
m84046_240619_124816_s1/251204447/ccs,1,0,0,0,0,0,0,0,0,1,1
m84046_240619_124816_s1/152834743/ccs,0,0,0,0,0,0,0,0,0,0,-1
m84046_240619_124816_s1/25036833/ccs,0,0,1,0,0,0,1,0,0,0,1
m84046_240619_124816_s1/220202796/ccs,0,0,0,1,0,0,1,0,1,0,1
m84046_240619_124816_s1/133825529/ccs,1,1,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/210244078/ccs,0,0,0,0,1,0,0,0,0,0,1
m84046_240619_124816_s1/177215150/ccs,1,1,1,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/119936824/ccs,1,0,1,0,1,1,1,1,1,0,1
m84046_240619_124816_s1/21828670/ccs,0,0,0,0,0,1,0,0,0,0,1
m84046_240619_124816_s1/139138691/ccs,0,0,0,0,0,0,0,1,0,0,1
m84046_240619_124816_s1/87953619/ccs,1,0,0,0,1,0,0,1,0,0,1
m84046_240619_124816_s1/250546992/ccs,0,0,1,0,0,0,1,0,0,1,1
m84046_240619_124816_s1/190057980/ccs,0,1,0,0,0,0,0,1,1,0,1
m84046_240619_124816_s1/63048151/ccs,0,0,0,1,0,0,0,0,0,0,1
m84046_240619_124816_s1/177738074/ccs,0,0,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/206444188/ccs,0,0,0,0,0,0,0,1,0,0,1
m84046_240619_124816_s1/158990977/ccs,0,0,0,0,0,0,0,1,0,0,1
m84046_240619_124816_s1/168760439/ccs,0,0,0,0,0,0,0,1,1,0,1
m84046_240619_124816_s1/169086196/ccs,1,1,0,0,0,0,1,0,1,0,1
m84046_240619_124816_s1/92735579/ccs,0,0,0,0,1,0,1,1,0,0,1
m84046_240619_124816_s1/21959307/ccs,0,0,1,0,0,0,0,0,0,0,-1
m84046_240619_124816_s1/178787772/ccs,1,1,1,1,0,0,1,0,0,0,-1
m84046_240619_124816_s1/227410914/ccs,0,0,0,0,0,0,0,0,0,1,1
m84046_240619_124816_s1/127929641/ccs,1,0,1,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/53152593/ccs,1,0,0,0,0,0,0,0,1,0,1
m84046_240619_124816_s1/233377868/ccs,1,0,0,0,0,0,0,1,1,1,1
m84046_240619_124816_s1/83758245/ccs,0,0,0,0,0,0,0,0,0,1,0
m84046_240619_124816_s1/224791705/ccs,1,0,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/51577608/ccs,0,0,0,1,1,0,0,1,1,0,1
m84046_240619_124816_s1/126882809/ccs,1,0,0,1,0,0,1,0,0,0,1
m84046_240619_124816_s1/157092009/ccs,0,0,0,0,0,0,0,1,0,1,1
m84046_240619_124816_s1/125700695/ccs,0,0,0,1,1,0,0,0,1,1,1
m84046_240619_124816_s1/164759661/ccs,0,0,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/232983257/ccs,1,1,0,1,1,0,0,1,0,0,1
m84046_240619_124816_s1/40829193/ccs,0,0,0,1,0,0,0,0,0,0,1
m84046_240619_124816_s1/203358379/ccs,1,1,0,0,1,0,0,0,0,1,1
m84046_240619_124816_s1/201982124/ccs,0,0,0,0,1,0,0,0,0,1,1
m84046_240619_124816_s1/259982408/ccs,0,0,0,0,0,0,0,0,1,1,1
m84046_240619_124816_s1/176952726/ccs,0,0,0,0,0,0,1,0,1,0,1
m84046_240619_124816_s1/144967439/ccs,0,0,0,0,1,0,1,1,0,0,1
m84046_240619_124816_s1/33493249/ccs,0,0,0,0,0,0,1,0,0,1,1
m84046_240619_124816_s1/48696119/ccs,0,0,0,1,0,1,0,1,0,0,1
m84046_240619_124816_s1/92345919/ccs,0,0,0,0,0,1,0,0,0,0,1
m84046_240619_124816_s1/200152479/ccs,0,0,1,1,0,0,1,0,0,0,-1
m84046_240619_124816_s1/56431816/ccs,0,0,0,1,0,1,1,0,0,0,1
m84046_240619_124816_s1/178197963/ccs,1,0,0,0,0,0,0,1,1,1,-1
m84046_240619_124816_s1/194516229/ccs,0,0,0,0,0,0,0,0,1,1,1
m84046_240619_124816_s1/12848055/ccs,0,0,0,0,0,0,1,0,0,0,1
m84046_240619_124816_s1/111149953/ccs,0,0,0,0,0,0,0,1,1,1,1
m84046_240619_124816_s1/226037220/ccs,1,0,0,0,0,0,1,0,1,0,1
m84046_240619_124816_s1/173543533/ccs,1,1,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/154403727/ccs,1,0,1,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/80285734/ccs,0,0,0,1,0,0,0,1,0,0,1
m84046_240619_124816_s1/181469534/ccs,0,0,1,0,1,1,0,0,1,1,1
m84046_240619_124816_s1/68884224/ccs,0,0,0,0,0,0,0,1,1,0,1
m84046_240619_124816_s1/14420856/ccs,1,1,0,0,1,0,0,-1,-1,1,1
m84046_240619_124816_s1/35783929/ccs,1,1,0,0,1,0,0,0,0,0,1
m84046_240619_124816_s1/212929389/ccs,1,1,1,0,1,0,0,0,0,1,1
m84046_240619_124816_s1/223286792/ccs,0,0,0,0,0,0,0,1,1,0,1
m84046_240619_124816_s1/151651070/ccs,0,0,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/91882801/ccs,0,0,1,0,0,0,0,0,0,0,0
m84046_240619_124816_s1/36767459/ccs,0,0,0,0,0,0,1,0,0,1,1
m84046_240619_124816_s1/63772319/ccs,1,1,0,0,0,1,1,0,0,0,1
m84046_240619_124816_s1/112394986/ccs,0,0,0,0,0,1,1,0,1,1,1
m84046_240619_124816_s1/225315140/ccs,1,1,0,0,0,0,1,0,0,0,1
m84046_240619_124816_s1/42667490/ccs,0,0,0,0,0,0,0,0,0,0,-1
m84046_240619_124816_s1/151458263/ccs,1,0,1,1,0,0,0,1,0,0,1
m84046_240619_124816_s1/155326265/ccs,0,0,0,0,0,0,0,0,1,0,1
m84046_240619_124816_s1/248447765/ccs,1,1,0,0,0,0,1,1,0,0,0
m84046_240619_124816_s1/86574381/ccs,0,0,0,1,0,0,1,1,1,1,1
m84046_240619_124816_s1/176164582/ccs,0,0,0,1,0,0,0,0,0,0,1
m84046_240619_124816_s1/144051741/ccs,1,1,1,0,1,0,0,1,0,0,1
m84046_240619_124816_s1/184946807/ccs,1,0,0,0,1,0,0,1,1,0,1
m84046_240619_124816_s1/237243772/ccs,-1,-1,0,0,0,0,0,0,1,1,1
m84046_240619_124816_s1/119279372/ccs,0,0,0,0,0,0,1,0,1,0,1
m84046_240619_124816_s1/237175789/ccs,1,1,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/110367742/ccs,-1,-1,-1,-1,1,1,1,0,0,0,1
m84046_240619_124816_s1/215224339/ccs,1,1,1,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/159126536/ccs,1,1,1,1,0,0,0,1,0,0,-1
m84046_240619_124816_s1/144116763/ccs,0,0,0,1,0,0,0,1,1,1,1
m84046_240619_124816_s1/168234412/ccs,0,0,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/221843514/ccs,0,0,0,0,0,0,1,1,1,1,-1
m84046_240619_124816_s1/163714844/ccs,1,1,0,0,0,1,1,1,0,1,1
m84046_240619_124816_s1/123605623/ccs,0,0,0,1,0,0,1,0,0,0,1
m84046_240619_124816_s1/117769613/ccs,1,1,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/38014400/ccs,0,0,0,0,0,1,1,0,0,1,1
m84046_240619_124816_s1/119738765/ccs,0,0,0,0,0,0,0,1,0,0,1
m84046_240619_124816_s1/249431094/ccs,0,0,1,1,0,0,0,0,0,0,1
m84046_240619_124816_s1/227476954/ccs,1,1,0,1,0,0,1,0,0,1,-1
m84046_240619_124816_s1/195169663/ccs,1,0,1,0,0,0,0,1,1,1,1
m84046_240619_124816_s1/254612191/ccs,0,0,0,0,0,0,0,0,0,0,1
