,1,2,3,4,5,6,7,8,9,10
"(1, 2)",,,,1.0114805462231673,1.5377249033096603,,1.0884584038055967,0.4409641241502964,1.1323078155621387,2.3204157392425633
"(1, 3)",,,,,,,,,,
"(1, 4)",,,,,,,,,,
"(1, 5)",,,,,,,,-0.7080162861670587,1.1527580203957957,
"(1, 6)",,,,,,,-0.8424862149915446,-1.260172010639609,,
"(1, 7)",,,,,,,,,,
"(1, 8)",,,,,,,,,,
"(1, 9)",,,,,,,,,,
"(1, 10)",,,,,,,,,,
"(2, 3)",,,,,,,-1.9371900820047037,,,
"(2, 4)",,,,,,,,,,
"(2, 5)",,,,,,,,,,
"(2, 6)",,,,,,,,,,
"(2, 7)",,,,,,,,,,
"(2, 8)",,,,,,,,,,
"(2, 9)",,,,,,,,,,
"(2, 10)",,,,,,,,,,
"(3, 4)",,,,,-0.9582001513783607,1.786388582945424,,,,
"(3, 5)",,,,,,,,,,
"(3, 6)",,,,,,,,,2.372344919906647,
"(3, 7)",,,,,,,,,,
"(3, 8)",,,,,,,,,,
"(3, 9)",,,,,,,,,,
"(3, 10)",,,,,,,,,,
"(4, 5)",,,,,,-1.7554609048418808,-0.7752147125302975,,-0.7522234439701116,
"(4, 6)",,,,,,,,,,
"(4, 7)",,,,,,,,,,
"(4, 8)",,,,,,,,,,
"(4, 9)",,,,,,,,,,
"(4, 10)",,,,,,,,,,
"(5, 6)",,,,,,,,-2.102717748689286,,-1.3175017146814234
"(5, 7)",,,,,,,,,,
"(5, 8)",,,,,,,,,,
"(5, 9)",,,,,,,,,,
"(5, 10)",,,,,,,,,,
"(6, 7)",,,,,,,,,,
"(6, 8)",,,,,,,,,,
"(6, 9)",,,,,,,,,,
"(6, 10)",,,,,,,,,,
"(7, 8)",,,,,,,,,,
"(7, 9)",,,,,,,,,,
"(7, 10)",,,,,,,,,,
"(8, 9)",,,,,,,,,,
"(8, 10)",,,,,,,,,,
"(9, 10)",,,,,,,,,,
